n    times
100000  0
1000000  0.032
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.063
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.515
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.047
10000000  0.501
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.047
10000000  0.5
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.048
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.046
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.484
10  0
100  0
1000  0
10000  0.015
100000  0.016
1000000  0.032
10000000  0.452
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.468
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.046
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.468
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.547
10  0
100  0
1000  0
10000  0.016
100000  0
1000000  0.031
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.063
10000000  0.499
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.063
10000000  0.468
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.063
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.063
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.5
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.454
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.5
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.063
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.468
10  0
100  0
1000  0
10000  0.016
100000  0
1000000  0.046
10000000  0.468
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.062
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.048
10000000  0.453
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.047
10000000  0.453
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.062
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.046
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.047
10000000  0.5
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.047
10000000  0.5
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.468
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.048
10000000  0.469
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.047
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.531
10  0
100  0
1000  0
10000  0
100000  0
1000000  0.047
10000000  0.484
10  0
100  0
1000  0
10000  0
100000  0.015
1000000  0.062
10000000  0.485
10  0
100  0
1000  0
10000  0
100000  0.016
1000000  0.062
10000000  0.484
